PHONE_REDACTEDT18:PORT:PORT.337532Z	   15 Query	SET character_set_results = NULL
PHONE_REDACTEDT18:PORT:PORT.338792Z	   15 Query	SET autocommit=1
PHONE_REDACTEDT18:PORT:PORT.340232Z	   15 Query	SELECT @@session.transaction_read_only
PHONE_REDACTEDT18:PORT:PORT.888355Z	   16 Connect	root@localhost on  using Socket
PHONE_REDACTEDT18:PORT:PORT.888750Z	   16 Query	/*!40100 SET @@SQL_MODE='' */
PHONE_REDACTEDT18:PORT:PORT.888926Z	   16 Query	/*!40103 SET TIME_ZONE='+00:PORT' */
PHONE_REDACTEDT18:PORT:PORT.889072Z	   16 Query	/*!80000 SET SESSION information_schema_stats_expiry=0 */
PHONE_REDACTEDT18:PORT:PORT.889184Z	   16 Query	SET SESSION NET_READ_TIMEOUT= 86400, SESSION NET_WRITE_TIMEOUT= 86400
PHONE_REDACTEDT18:PORT:PORT.889524Z	   16 Query	SET @@SESSION.terminology_use_previous = NONE
PHONE_REDACTEDT18:PORT:PORT.889694Z	   16 Query	SHOW VARIABLES LIKE 'gtid_mode'
PHONE_REDACTEDT18:PORT:PORT.904106Z	   16 Query	SET SESSION TRANSACTION ISOLATION LEVEL REPEATABLE READ
PHONE_REDACTEDT18:PORT:PORT.904287Z	   16 Query	START TRANSACTION /*!40100 WITH CONSISTENT SNAPSHOT */
PHONE_REDACTEDT18:PORT:PORT.904406Z	   16 Query	UNLOCK TABLES
PHONE_REDACTEDT18:PORT:PORT.904610Z	   16 Query	SELECT LOGFILE_GROUP_NAME, FILE_NAME, TOTAL_EXTENTS, INITIAL_SIZE, ENGINE, EXTRA FROM INFORMATION_SCHEMA.FILES WHERE ENGINE = 'ndbcluster' AND FILE_TYPE = 'UNDO LOG' AND FILE_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IS NOT NULL GROUP BY LOGFILE_GROUP_NAME, FILE_NAME, ENGINE, TOTAL_EXTENTS, INITIAL_SIZE ORDER BY LOGFILE_GROUP_NAME
PHONE_REDACTEDT18:PORT:PORT.909277Z	   16 Query	SELECT DISTINCT TABLESPACE_NAME, FILE_NAME, LOGFILE_GROUP_NAME, EXTENT_SIZE, INITIAL_SIZE, ENGINE FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' ORDER BY TABLESPACE_NAME, LOGFILE_GROUP_NAME
PHONE_REDACTEDT18:PORT:PORT.912392Z	   16 Query	SHOW DATABASES
PHONE_REDACTEDT18:PORT:PORT.916768Z	   16 Query	SHOW VARIABLES LIKE 'ndbinfo\_version'
PHONE_REDACTEDT18:PORT:PORT.921842Z	   16 Init DB	mysql
PHONE_REDACTEDT18:PORT:PORT.921997Z	   16 Query	SHOW CREATE DATABASE IF NOT EXISTS `mysql`
PHONE_REDACTEDT18:PORT:PORT.922125Z	   16 Query	SAVEPOINT sp
PHONE_REDACTEDT18:PORT:PORT.922253Z	   16 Query	show tables
PHONE_REDACTEDT18:PORT:PORT.926445Z	   16 Query	show table status like 'columns\_priv'
PHONE_REDACTEDT18:PORT:PORT.929478Z	   16 Query	SET SQL_QUOTE_SHOW_CREATE=1
PHONE_REDACTEDT18:PORT:PORT.929620Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.929739Z	   16 Query	show create table `columns_priv`
PHONE_REDACTEDT18:PORT:PORT.930878Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.931070Z	   16 Query	show fields from `columns_priv`
PHONE_REDACTEDT18:PORT:PORT.934112Z	   16 Query	show fields from `columns_priv`
PHONE_REDACTEDT18:PORT:PORT.936190Z	   16 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `columns_priv`
PHONE_REDACTEDT18:PORT:PORT.936473Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.936584Z	   16 Query	use `mysql`
PHONE_REDACTEDT18:PORT:PORT.936723Z	   16 Query	select @@collation_database
PHONE_REDACTEDT18:PORT:PORT.936886Z	   16 Query	SHOW TRIGGERS LIKE 'columns\_priv'
PHONE_REDACTEDT18:PORT:PORT.939623Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.939803Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.939966Z	   16 Query	SELECT COLUMN_NAME,                       JSON_EXTRACT(HISTOGRAM, '$."number-of-buckets-specified"')                FROM information_schema.COLUMN_STATISTICS                WHERE SCHEMA_NAME = 'mysql' AND TABLE_NAME = 'columns_priv'
PHONE_REDACTEDT18:PORT:PORT.941060Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.941185Z	   16 Query	ROLLBACK TO SAVEPOINT sp
PHONE_REDACTEDT18:PORT:PORT.941329Z	   16 Query	show table status like 'component'
PHONE_REDACTEDT18:PORT:PORT.944206Z	   16 Query	SET SQL_QUOTE_SHOW_CREATE=1
PHONE_REDACTEDT18:PORT:PORT.944377Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.944488Z	   16 Query	show create table `component`
PHONE_REDACTEDT18:PORT:PORT.945550Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.945774Z	   16 Query	show fields from `component`
PHONE_REDACTEDT18:PORT:PORT.947771Z	   16 Query	show fields from `component`
PHONE_REDACTEDT18:PORT:PORT.949561Z	   16 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `component`
PHONE_REDACTEDT18:PORT:PORT.949807Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.949919Z	   16 Query	use `mysql`
PHONE_REDACTEDT18:PORT:PORT.950036Z	   16 Query	select @@collation_database
PHONE_REDACTEDT18:PORT:PORT.950178Z	   16 Query	SHOW TRIGGERS LIKE 'component'
PHONE_REDACTEDT18:PORT:PORT.951528Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.951667Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.951830Z	   16 Query	SELECT COLUMN_NAME,                       JSON_EXTRACT(HISTOGRAM, '$."number-of-buckets-specified"')                FROM information_schema.COLUMN_STATISTICS                WHERE SCHEMA_NAME = 'mysql' AND TABLE_NAME = 'component'
PHONE_REDACTEDT18:PORT:PORT.952264Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.952356Z	   16 Query	ROLLBACK TO SAVEPOINT sp
PHONE_REDACTEDT18:PORT:PORT.952516Z	   16 Query	show table status like 'db'
PHONE_REDACTEDT18:PORT:PORT.955205Z	   16 Query	SET SQL_QUOTE_SHOW_CREATE=1
PHONE_REDACTEDT18:PORT:PORT.955339Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.955440Z	   16 Query	show create table `db`
PHONE_REDACTEDT18:PORT:PORT.957169Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.957351Z	   16 Query	show fields from `db`
PHONE_REDACTEDT18:PORT:PORT.959909Z	   16 Query	show fields from `db`
PHONE_REDACTEDT18:PORT:PORT.962283Z	   16 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `db`
PHONE_REDACTEDT18:PORT:PORT.962632Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.962757Z	   16 Query	use `mysql`
PHONE_REDACTEDT18:PORT:PORT.962884Z	   16 Query	select @@collation_database
PHONE_REDACTEDT18:PORT:PORT.963047Z	   16 Query	SHOW TRIGGERS LIKE 'db'
PHONE_REDACTEDT18:PORT:PORT.964419Z	   16 Query	SET SESSION character_set_results = 'utf8mb4'
PHONE_REDACTEDT18:PORT:PORT.964562Z	   16 Query	SET SESSION character_set_results = 'binary'
PHONE_REDACTEDT18:PORT:PORT.964722Z	   16 Query	SELECT COLUMN_NAME,                       JSON_EXTRACT(HISTOGRAM, '$."number-of-buckets-specified"')                FROM information_schema.COLUMN_STATISTICS                WHERE SCHEMA_NAME = 'mysql' AND TABLE_NAME = 'db'
